Company Name,Category,Report
AssemblyAI,FOUNDATION MODELS / DATA,Accel 2025 US AI 100
Cartesia,FOUNDATION MODELS / DATA,Accel 2025 US AI 100
Chai Discovery,FOUNDATION MODELS / DATA,Accel 2025 US AI 100
David AI,FOUNDATION MODELS / DATA,Accel 2025 US AI 100
LMArena,FOUNDATION MODELS / DATA,Accel 2025 US AI 100
reducto,FOUNDATION MODELS / DATA,Accel 2025 US AI 100
braintrust,AI INFRASTRUCTURE,Accel 2025 US AI 100
Browserbase,AI INFRASTRUCTURE,Accel 2025 US AI 100
raindrop,AI INFRASTRUCTURE,Accel 2025 US AI 100
Judgment Labs,AI INFRASTRUCTURE,Accel 2025 US AI 100
Kernel,AI INFRASTRUCTURE,Accel 2025 US AI 100
parallel,AI INFRASTRUCTURE,Accel 2025 US AI 100
STACKLOK,AI INFRASTRUCTURE,Accel 2025 US AI 100
exa,AI INFRASTRUCTURE,Accel 2025 US AI 100
VAPI,AI INFRASTRUCTURE,Accel 2025 US AI 100
Applied Compute,AI-ENABLED SERVICES,Accel 2025 US AI 100
crosby,AI-ENABLED SERVICES,Accel 2025 US AI 100
Fifteenth,AI-ENABLED SERVICES,Accel 2025 US AI 100
PACE,AI-ENABLED SERVICES,Accel 2025 US AI 100
Paraform,AI-ENABLED SERVICES,Accel 2025 US AI 100
ASTRAL,DEVELOPER TOOLING,Accel 2025 US AI 100
cdata,DEVELOPER TOOLING,Accel 2025 US AI 100
chalk,DEVELOPER TOOLING,Accel 2025 US AI 100
CINDER,DEVELOPER TOOLING,Accel 2025 US AI 100
E2B,DEVELOPER TOOLING,Accel 2025 US AI 100
Graphite,DEVELOPER TOOLING,Accel 2025 US AI 100
Laravel,DEVELOPER TOOLING,Accel 2025 US AI 100
MERGE,DEVELOPER TOOLING,Accel 2025 US AI 100
momentic,DEVELOPER TOOLING,Accel 2025 US AI 100
Nova Intelligence,DEVELOPER TOOLING,Accel 2025 US AI 100
Resolve.ai,DEVELOPER TOOLING,Accel 2025 US AI 100
TierZero AI,DEVELOPER TOOLING,Accel 2025 US AI 100
turbopuffer,DEVELOPER TOOLING,Accel 2025 US AI 100
Traversal,DEVELOPER TOOLING,Accel 2025 US AI 100
WorkOS,DEVELOPER TOOLING,Accel 2025 US AI 100
Accordance,VERTICAL AI,Accel 2025 US AI 100
AVOCA,VERTICAL AI,Accel 2025 US AI 100
Basis,VERTICAL AI,Accel 2025 US AI 100
BRISK TEACHING,VERTICAL AI,Accel 2025 US AI 100
Clarion,VERTICAL AI,Accel 2025 US AI 100
CODEMETAL,VERTICAL AI,Accel 2025 US AI 100
convoke,VERTICAL AI,Accel 2025 US AI 100
Endeavor,VERTICAL AI,Accel 2025 US AI 100
Endex,VERTICAL AI,Accel 2025 US AI 100
FurtherAI,VERTICAL AI,Accel 2025 US AI 100
HappyRobot,VERTICAL AI,Accel 2025 US AI 100
trunk tools,VERTICAL AI,Accel 2025 US AI 100
netic,VERTICAL AI,Accel 2025 US AI 100
SALIENT,VERTICAL AI,Accel 2025 US AI 100
NOMINAL,VERTICAL AI,Accel 2025 US AI 100
Norm AI,VERTICAL AI,Accel 2025 US AI 100
PermitFlow,VERTICAL AI,Accel 2025 US AI 100
SILNA,VERTICAL AI,Accel 2025 US AI 100
Strala,VERTICAL AI,Accel 2025 US AI 100
tandem,VERTICAL AI,Accel 2025 US AI 100
Tennr,VERTICAL AI,Accel 2025 US AI 100
toma,VERTICAL AI,Accel 2025 US AI 100
Voltai,VERTICAL AI,Accel 2025 US AI 100
Auctor AI,HORIZONTAL AI APPLICATIONS,Accel 2025 US AI 100
Blockit,HORIZONTAL AI APPLICATIONS,Accel 2025 US AI 100
campfire,HORIZONTAL AI APPLICATIONS,Accel 2025 US AI 100
CONSOLE,HORIZONTAL AI APPLICATIONS,Accel 2025 US AI 100
Flint,HORIZONTAL AI APPLICATIONS,Accel 2025 US AI 100
IZIORI,HORIZONTAL AI APPLICATIONS,Accel 2025 US AI 100
Forge,HORIZONTAL AI APPLICATIONS,Accel 2025 US AI 100
Juicebox,HORIZONTAL AI APPLICATIONS,Accel 2025 US AI 100
KREA,HORIZONTAL AI APPLICATIONS,Accel 2025 US AI 100
Lightfield,HORIZONTAL AI APPLICATIONS,Accel 2025 US AI 100
Listen,HORIZONTAL AI APPLICATIONS,Accel 2025 US AI 100
Penrose,HORIZONTAL AI APPLICATIONS,Accel 2025 US AI 100
Profound,HORIZONTAL AI APPLICATIONS,Accel 2025 US AI 100
Pylon,HORIZONTAL AI APPLICATIONS,Accel 2025 US AI 100
Quanta,HORIZONTAL AI APPLICATIONS,Accel 2025 US AI 100
R0X,HORIZONTAL AI APPLICATIONS,Accel 2025 US AI 100
Serval,HORIZONTAL AI APPLICATIONS,Accel 2025 US AI 100
